wavenumber	counts
651.597	1.75
652.161	1.8075
652.726	1.8125
653.29	1.76
653.854	1.68
654.42	1.7425
654.983	1.81
655.547	1.665
656.112	1.7825
656.676	1.75
657.24	1.675
657.805	1.7625
658.369	1.745
658.932	1.7025
659.495	1.825
660.061	1.81
660.624	1.7
661.187	1.75
661.751	1.735
662.314	1.785
662.879	1.685
663.442	1.765
664.005	1.79
664.568	1.75
665.131	1.7825
665.696	1.75
666.259	1.79
666.822	1.7525
667.385	1.715
667.948	1.68
668.511	1.76
669.074	1.75
669.636	1.79
670.199	1.71
670.762	1.76
671.325	1.71
671.889	1.7
672.452	1.7675
673.014	1.67
673.577	1.7775
674.139	1.7075
674.702	1.67
675.264	1.795
675.827	1.68
676.387	1.755
676.949	1.765
677.511	1.6825
678.074	1.6675
678.636	1.7475
679.198	1.7125
679.76	1.7175
680.322	1.67
680.884	1.69
681.446	1.76
682.008	1.675
682.568	1.8675
683.13	1.7
683.692	1.725
684.254	1.7175
684.816	1.695
685.376	1.725
685.937	1.695
686.499	1.625
687.061	1.7525
687.622	1.795
688.182	1.81
688.744	1.745
689.305	1.6975
689.867	1.615
690.426	1.5925
690.988	1.6675
691.549	1.54
692.108	1.655
692.67	1.725
693.231	1.71
693.79	1.67
694.352	1.675
694.913	1.6075
695.472	1.6575
696.033	1.595
696.592	1.535
697.153	1.5575
697.714	1.595
698.273	1.545
698.834	1.595
699.393	1.6225
699.954	1.65
700.513	1.51
701.074	1.5675
701.632	1.645
702.193	1.68
702.752	1.6225
703.313	1.6675
703.871	1.5925
704.432	1.6475
704.99	1.59
705.551	1.5675
706.109	1.645
706.668	1.62
707.228	1.615
707.787	1.605
708.347	1.61
708.905	1.6475
709.464	1.7175
710.024	1.52
710.582	1.6575
711.14	1.6475
711.7	1.585
712.259	1.71
712.817	1.5475
713.377	1.54
713.935	1.7
714.493	1.665
715.051	1.6575
715.611	1.6
716.168	1.5725
716.726	1.61
717.284	1.7175
717.844	1.66
718.402	1.6025
718.959	1.5825
719.517	1.6375
720.075	1.6475
720.632	1.625
721.192	1.675
721.749	1.6525
722.307	1.62
722.864	1.555
723.422	1.545
723.979	1.6025
724.537	1.56
725.094	1.62
725.651	1.5
726.21	1.615
726.768	1.595
727.325	1.605
727.882	1.6175
728.439	1.505
728.996	1.6475
729.553	1.5875
730.11	1.485
730.667	1.45
731.224	1.535
731.781	1.65
732.338	1.565
732.893	1.5075
733.45	1.545
734.007	1.58
734.563	1.455
735.12	1.535
735.677	1.5725
736.233	1.5875
736.79	1.52
737.346	1.49
737.901	1.4275
738.458	1.575
739.014	1.535
739.57	1.46
740.127	1.5
740.683	1.545
741.238	1.49
741.794	1.465
742.35	1.49
742.906	1.5525
743.461	1.4325
744.017	1.43
744.573	1.4575
745.129	1.43
745.683	1.425
746.239	1.405
746.795	1.5
747.349	1.5475
747.905	1.485
748.461	1.4325
749.015	1.45
749.571	1.435
750.124	1.425
750.68	1.4825
751.236	1.5325
751.79	1.5025
752.345	1.385
752.899	1.4875
753.454	1.49
754.01	1.455
754.563	1.405
755.119	1.4775
755.672	1.5125
756.228	1.455
756.781	1.4
757.337	1.4625
757.89	1.4025
758.445	1.485
758.998	1.435
759.552	1.43
760.107	1.465
760.66	1.425
761.215	1.4175
761.768	1.42
762.323	1.33
762.876	1.4125
763.429	1.485
763.984	1.435
764.537	1.4675
765.09	1.43
765.645	1.4225
766.198	1.405
766.75	1.435
767.305	1.415
767.858	1.37
768.411	1.4075
768.965	1.3875
769.518	1.325
770.07	1.3525
770.623	1.385
771.177	1.435
771.73	1.4675
772.282	1.445
772.835	1.4225
773.387	1.365
773.941	1.4525
774.494	1.315
775.046	1.3575
775.598	1.3675
776.15	1.415
776.703	1.38
777.255	1.325
777.809	1.23
778.361	1.455
778.913	1.4725
779.465	1.455
780.017	1.4075
780.569	1.3575
781.121	1.41
781.673	1.465
782.224	1.3475
782.776	1.355
783.328	1.4575
783.88	1.4075
784.431	1.4125
784.983	1.255
785.535	1.2225
786.086	1.165
786.638	1.1375
787.189	0.96
787.741	0.9575
788.292	0.9575
788.844	0.8625
789.393	0.835
789.945	0.7725
