wavenumber,wavenumber_adjusted,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen,seventeen,eighteen,nineteen,twenty
606.814,608.693145840736,3.19333,2.07067,2.09733,1.94267,1.92933,1.85733,1.86,1.94267,1.872,1.93733,1.94933,3.14667,4.84267,13.66,12.764,11.8187,11.96,11.196,11.7067,12.2667
607.385,609.264145840736,3.32267,2.116,2.072,1.92533,1.89333,1.92,1.88533,1.892,1.936,1.888,2.02267,3.328,4.63867,13.6427,12.952,12.164,11.9533,11.476,11.7693,12.176
607.954,609.833145840736,3.144,2.11333,2.17733,1.97333,1.96,1.94933,1.99867,1.89733,1.744,1.924,2.048,3.24,4.828,13.8387,13.0333,12.4093,12.216,11.4947,11.8147,12.5107
608.522,610.401145840736,3.256,2.13333,2.08,2.01733,1.94533,1.92,1.92933,1.864,1.848,1.95333,1.89733,3.31733,4.816,13.8093,13.408,12.4133,12.2667,11.6467,12.248,12.7467
609.091,610.970145840736,3.24133,2.09733,2.13067,1.984,1.92267,1.924,1.868,1.99067,1.89467,1.82533,2.02,3.27867,4.87733,14.036,13.4307,12.6933,12.452,11.7307,12.2187,12.888
609.659,611.538145840736,3.264,2.12133,2.21333,2.008,1.94533,1.83067,1.948,1.92,1.928,1.936,2.01867,3.168,4.91067,14.204,13.82,12.6693,12.8893,12.0053,12.3173,12.9827
610.228,612.107145840736,3.344,2.20933,2.224,2.05733,1.98267,1.93867,1.9,1.952,1.964,1.96533,2.068,3.22933,4.90267,14.2253,13.8573,12.844,12.8187,12.1307,12.7013,12.9933
610.796,612.675145840736,3.188,2.256,2.144,2.048,2.03733,1.93867,2.004,1.95867,1.956,1.964,2.02667,3.32933,4.87333,14.5907,13.9427,12.9027,12.928,12.284,12.7,13.076
611.367,613.246145840736,3.23067,2.17333,2.104,2.06533,1.98267,1.91733,1.94133,1.94,1.97467,1.992,2.02667,3.20533,4.84133,14.4773,14.1173,12.944,13.0013,12.1013,12.652,13.3333
611.935,613.814145840736,3.25067,2.20267,2.19467,2.12533,2.07333,1.97333,1.89733,2.008,1.95467,1.944,2.12667,3.29067,4.97067,14.7947,14.232,13.3773,13.3787,12.5107,12.8093,13.6
612.503,614.382145840736,3.428,2.252,2.16,2.088,2.02933,1.90533,2.01067,1.952,2,2.01733,2.03733,3.20533,4.848,14.8733,14.452,13.4,13.496,12.4173,12.892,13.4747
